WorkDate,Customer,Location,BusinessType,OrderCount,NumberOfPieces,TotalRevenue
8/27/2020,Starbucks,San Francisco,Middle Mile,24,144,1024.43
8/27/2020,Starbucks,Chicago,Middle Mile,25,125,2013.06
8/27/2020,Starbucks,New York,Middle Mile,19,95,585.56
8/27/2020,Starbucks,Seattle,Middle Mile,25,125,1903.91
8/27/2020,Starbucks,Atlanta,Middle Mile,8,32,477.49
8/27/2020,Starbucks,Detroit,Middle Mile,8,40,648.41
8/27/2020,Starbucks,Dallas,Middle Mile,12,48,726.47
8/27/2020,Starbucks,San Diego,Middle Mile,24,120,2104.37
8/27/2020,Starbucks,Milwaukee,Middle Mile,21,105,908.31
8/27/2020,Shein,Houston,Middle Mile,9,36,401.95
8/27/2020,Home Depot,Nashville,Final Mile,32,160,4358.11
8/27/2020,Home Depot,Dallas,Final Mile,26,130,2608.03
8/27/2020,Home Depot,Birmingham,Final Mile,9,45,3372.9
8/27/2020,Amazon,San Francisco,Final Mile,18,108,541.24
8/27/2020,Amazon,Los Angeles,Final Mile,20,100,1717.94
8/27/2020,Amazon,San Diego,Final Mile,27,135,906.26
8/27/2020,Amazon,Houston,Final Mile,14,70,377.27
8/27/2020,Amazon,New York,Final Mile,11,44,1023.11
8/27/2020,Amazon,Birmingham,Final Mile,12,72,1080.84
8/27/2020,Amazon,Nashville,Final Mile,10,40,810.01
8/27/2020,Amazon,Minneapolis,Final Mile,18,90,1851.53
8/27/2020,Amazon,Dallas,Final Mile,27,108,2438.04
8/27/2020,Amazon,Tampa Bay,Final Mile,25,125,1393.79
8/27/2020,Amazon,Sacramento,Final Mile,8,48,1082.89
8/27/2020,Walmart,Milwaukee,Middle Mile,13,65,1012.07
8/27/2020,Target,Milwaukee,Middle Mile,29,145,1018.76
8/27/2020,Target,San Francisco,Middle Mile,15,75,758.02
8/27/2020,Amazon,Atlanta,Final Mile,27,135,3039.8
8/27/2020,Target,Tampa Bay,Middle Mile,15,90,368.76
8/27/2020,Target,Detroit,Middle Mile,23,115,600.6
8/27/2020,Costco,Seattle,First Mile,9,45,969.95
8/27/2020,Costco,Dallas,First Mile,9,45,967.51
8/27/2020,Costco,Minneapolis,First Mile,12,60,2369.6
8/27/2020,Costco,Houston,First Mile,7,28,394.43
8/27/2020,Costco,Los Angeles,First Mile,11,77,1780.66
8/27/2020,Costco,Sacramento,First Mile,7,35,559.78
8/27/2020,Home Depot,Tampa Bay,Final Mile,15,75,5472.46
8/27/2020,Costco,San Francisco,First Mile,8,40,1422.94
8/27/2020,Costco,Miami,First Mile,13,65,2199.59
8/27/2020,Costco,Atlanta,First Mile,15,75,2663.12
8/27/2020,Target,Los Angeles,Middle Mile,14,70,1024.39
8/27/2020,Target,Seattle,Middle Mile,17,85,2115.72
8/27/2020,Costco,Milwaukee,First Mile,6,30,333.05
8/27/2020,Target,Nashville,Middle Mile,27,135,1668.23
8/28/2020,Chipotle,Houston,Final Mile,22,88,1325.12
8/28/2020,Chipotle,Dallas,Final Mile,12,60,815.95
8/28/2020,Chick-Fil-A,Los Angeles,Final Mile,13,65,974.2
8/28/2020,Chick-Fil-A,Houston,Final Mile,21,126,1769.91
8/28/2020,Home Goods,Houston,Middle Mile,15,90,1297.69
8/28/2020,Home Goods,Los Angeles,Middle Mile,20,100,1012.68
8/28/2020,Chipotle,Milwaukee,Final Mile,14,70,987.65
8/28/2020,T.J. Maxx,Milwaukee,Middle Mile,31,155,614.01
8/28/2020,Home Depot,Seattle,Final Mile,9,45,1558.5
8/28/2020,Home Depot,Sacramento,Final Mile,22,110,4976.7
8/28/2020,Home Depot,Dallas,Final Mile,26,130,2608.03
8/28/2020,Home Depot,Milwaukee,Final Mile,13,39,1406.64
8/28/2020,Home Goods,New York,Middle Mile,9,45,816.07
8/28/2020,Chipotle,New York,Final Mile,24,120,1584.52
8/28/2020,Shein,Houston,Middle Mile,9,45,502.43
8/28/2020,Lowes,Chicago,Final Mile,17,85,4419.78
8/28/2020,Shein,Los Angeles,Middle Mile,6,42,273.2
8/28/2020,Shein,Chicago,Middle Mile,17,85,1152.07
8/28/2020,Shein,Nashville,Middle Mile,17,85,1843.81
8/28/2020,Shein,Milwaukee,Middle Mile,24,120,2769.43
8/28/2020,Starbucks,Chicago,Middle Mile,25,125,2013.06
8/28/2020,Starbucks,Nashville,Middle Mile,24,120,1842.06
8/28/2020,Starbucks,Atlanta,Middle Mile,8,48,716.24
8/28/2020,Starbucks,Detroit,Middle Mile,8,40,648.41
8/28/2020,Starbucks,Dallas,Middle Mile,12,60,908.09
8/28/2020,Starbucks,Minneapolis,Middle Mile,12,60,901.39
8/28/2020,Starbucks,Sacramento,Middle Mile,10,50,429.78
8/28/2020,Home Depot,Tampa Bay,Final Mile,15,60,4377.97
8/28/2020,Lowes,Milwaukee,Final Mile,5,25,750.65
8/28/2020,Starbucks,San Francisco,Middle Mile,24,120,853.69
8/28/2020,Costco,Seattle,First Mile,9,45,969.95
8/28/2020,Costco,Minneapolis,First Mile,12,60,2369.6
8/28/2020,Costco,Dallas,First Mile,9,45,967.51
8/28/2020,Amazon,Chicago,Final Mile,25,100,1096.89
8/28/2020,Amazon,Atlanta,Final Mile,27,135,3039.8
8/28/2020,Amazon,San Francisco,Final Mile,18,90,451.03
8/28/2020,Amazon,Los Angeles,Final Mile,20,100,1717.94
8/28/2020,Amazon,San Diego,Final Mile,27,54,362.51
8/28/2020,Amazon,Houston,Final Mile,14,98,528.17
8/28/2020,Amazon,New York,Final Mile,11,55,1278.89
8/28/2020,Amazon,Nashville,Final Mile,10,40,810.01
8/28/2020,Amazon,Minneapolis,Final Mile,18,90,1851.53
8/28/2020,Amazon,Tampa Bay,Final Mile,25,125,1393.79
8/28/2020,Amazon,Sacramento,Final Mile,8,32,721.93
8/28/2020,Walmart,Milwaukee,Middle Mile,13,65,1012.07
8/28/2020,Walmart,Chicago,Middle Mile,32,192,4523.61
8/28/2020,Amazon,Birmingham,Final Mile,12,60,900.7
8/28/2020,Target,San Francisco,Middle Mile,15,75,758.02
8/28/2020,Costco,Birmingham,First Mile,4,24,374.79
8/28/2020,Target,Atlanta,Middle Mile,24,96,812.52
8/28/2020,Costco,Houston,First Mile,7,35,493.03
8/28/2020,Costco,Chicago,First Mile,5,25,948.41
8/28/2020,Costco,Los Angeles,First Mile,11,55,1271.9
8/28/2020,Costco,Atlanta,First Mile,15,60,2130.5
8/28/2020,Target,Dallas,Middle Mile,25,125,959.7
8/28/2020,Costco,Milwaukee,First Mile,6,30,333.05
8/28/2020,Target,Chicago,Middle Mile,33,165,1983.4
8/28/2020,Target,Sacramento,Middle Mile,26,130,994.65
8/28/2020,Target,Nashville,Middle Mile,27,135,1668.23
8/28/2020,Target,Tampa Bay,Middle Mile,15,75,307.3
8/28/2020,Target,Detroit,Middle Mile,23,161,840.84
8/28/2020,Target,Los Angeles,Middle Mile,14,84,1229.27
8/29/2020,Home Goods,Houston,Middle Mile,6,36,519.07
8/29/2020,Home Goods,Miami,Middle Mile,7,35,416.06
8/29/2020,Home Goods,Birmingham,Middle Mile,8,40,279.94
8/29/2020,Home Goods,Chicago,Middle Mile,5,30,393.2
8/29/2020,Home Goods,Tampa Bay,Middle Mile,5,25,209.38
8/29/2020,Home Goods,San Francisco,Middle Mile,9,54,381.11
8/29/2020,Home Depot,Milwaukee,Final Mile,5,25,901.69
8/29/2020,Home Depot,Seattle,Final Mile,3,15,519.5
8/29/2020,Home Depot,Houston,Final Mile,13,52,2398.5
8/29/2020,Home Depot,Atlanta,Final Mile,11,44,2013.93
8/29/2020,Home Depot,Detroit,Final Mile,11,66,2611.99
8/29/2020,Home Depot,Los Angeles,Final Mile,12,60,3909.91
8/29/2020,Chipotle,Houston,Final Mile,8,40,602.33
8/29/2020,T.J. Maxx,Seattle,Middle Mile,5,30,304.21
8/29/2020,Chipotle,Atlanta,Final Mile,4,20,341.81
8/29/2020,Starbucks,Minneapolis,Middle Mile,4,16,240.37
8/29/2020,Chipotle,New York,Final Mile,9,45,594.2
8/29/2020,Home Depot,San Diego,Final Mile,10,50,685.79
8/29/2020,Starbucks,Miami,Middle Mile,9,36,156.49
8/29/2020,Starbucks,Detroit,Middle Mile,3,15,243.16
8/29/2020,Starbucks,Seattle,Middle Mile,10,50,761.56
8/29/2020,Starbucks,Chicago,Middle Mile,10,50,805.22
8/29/2020,Starbucks,Houston,Middle Mile,9,45,469.99
8/29/2020,Chipotle,Milwaukee,Final Mile,5,25,352.73
8/29/2020,Shein,Milwaukee,Middle Mile,9,45,1038.54
8/29/2020,Shein,Nashville,Middle Mile,6,18,390.45
8/29/2020,Shein,Sacramento,Middle Mile,4,16,159.85
8/29/2020,Shein,Tampa Bay,Middle Mile,9,27,620.42
8/29/2020,Lowes,Sacramento,Final Mile,6,30,1233.9
8/29/2020,Lowes,Chicago,Final Mile,6,30,1559.92
8/29/2020,Lowes,Milwaukee,Final Mile,2,10,300.26
8/29/2020,Shein,Dallas,Middle Mile,9,45,941.51
8/29/2020,Home Depot,Tampa Bay,Final Mile,6,30,2188.98
8/29/2020,Starbucks,Los Angeles,Middle Mile,10,50,767.54
8/29/2020,Costco,Nashville,First Mile,3,15,469.96
8/29/2020,Amazon,Chicago,Final Mile,10,50,548.44
8/29/2020,Amazon,Atlanta,Final Mile,11,66,1486.13
8/29/2020,Amazon,San Francisco,Final Mile,7,35,175.4
8/29/2020,Amazon,Los Angeles,Final Mile,8,32,549.74
8/29/2020,Amazon,San Diego,Final Mile,11,55,369.22
8/29/2020,Amazon,Houston,Final Mile,5,25,134.74
8/29/2020,Amazon,New York,Final Mile,4,20,465.05
8/29/2020,Amazon,Birmingham,Final Mile,5,25,375.29
8/29/2020,Amazon,Minneapolis,Final Mile,7,35,720.04
8/29/2020,Amazon,Dallas,Final Mile,10,50,1128.72
8/29/2020,Amazon,Tampa Bay,Final Mile,10,50,557.51
8/29/2020,Amazon,Sacramento,Final Mile,3,15,338.4
8/29/2020,Walmart,New York,Middle Mile,9,45,198.15
8/29/2020,Walmart,Milwaukee,Middle Mile,5,25,389.26
8/29/2020,Target,Milwaukee,Middle Mile,11,55,386.42
8/29/2020,Home Depot,Birmingham,Final Mile,3,15,1124.3
8/29/2020,Target,Nashville,Middle Mile,10,70,865.01
8/29/2020,Costco,Seattle,First Mile,3,15,323.32
8/29/2020,Costco,Dallas,First Mile,3,15,322.5
8/29/2020,Costco,Minneapolis,First Mile,4,20,789.87
8/29/2020,Costco,San Diego,First Mile,6,24,532.32
8/29/2020,Costco,Birmingham,First Mile,1,5,78.08
8/29/2020,Costco,Houston,First Mile,2,8,112.69
8/29/2020,Costco,New York,First Mile,4,20,297.11
8/29/2020,Target,San Francisco,Middle Mile,6,30,303.21
8/29/2020,Costco,Sacramento,First Mile,2,10,159.94
8/29/2020,Costco,Milwaukee,First Mile,2,10,111.02
8/29/2020,Target,Los Angeles,Middle Mile,5,25,365.85
8/29/2020,Target,Seattle,Middle Mile,7,49,1219.65
8/29/2020,Target,Chicago,Middle Mile,13,65,781.34
8/29/2020,Target,Sacramento,Middle Mile,10,50,382.56
8/29/2020,Costco,Los Angeles,First Mile,4,20,462.51
8/30/2020,Lowes,Chicago,Final Mile,6,24,1247.94
8/30/2020,Lowes,Milwaukee,Final Mile,2,6,180.16
8/30/2020,Chipotle,Miami,Final Mile,3,12,201.59
8/30/2020,Chipotle,Seattle,Final Mile,11,66,320.11
8/30/2020,Chick-Fil-A,Los Angeles,Final Mile,5,25,374.69
8/30/2020,Home Goods,Los Angeles,Middle Mile,8,40,405.07
8/30/2020,Home Depot,Atlanta,Final Mile,11,55,2517.41
8/30/2020,T.J. Maxx,Los Angeles,Middle Mile,11,44,215.12
8/30/2020,Home Depot,Houston,Final Mile,13,65,2998.12
8/30/2020,Home Depot,Chicago,Final Mile,11,55,4014.16
8/30/2020,Home Depot,Los Angeles,Final Mile,12,60,3909.91
8/30/2020,Home Depot,Sacramento,Final Mile,9,63,2850.29
8/30/2020,Lowes,Sacramento,Final Mile,6,24,987.12
8/30/2020,Home Goods,Chicago,Middle Mile,5,25,327.67
8/30/2020,Shein,Houston,Middle Mile,3,15,167.48
8/30/2020,Starbucks,Houston,Middle Mile,9,45,469.99
8/30/2020,Shein,Sacramento,Middle Mile,4,20,199.81
8/30/2020,Starbucks,Los Angeles,Middle Mile,10,50,767.54
8/30/2020,Starbucks,Milwaukee,Middle Mile,8,40,346.02
8/30/2020,Starbucks,Minneapolis,Middle Mile,4,20,300.46
8/30/2020,Starbucks,San Diego,Middle Mile,9,45,789.14
8/30/2020,Starbucks,Miami,Middle Mile,9,36,156.49
8/30/2020,Starbucks,Dallas,Middle Mile,5,20,302.7
8/30/2020,Shein,Los Angeles,Middle Mile,2,10,65.05
8/30/2020,Starbucks,Atlanta,Middle Mile,3,15,223.82
8/30/2020,Home Depot,Dallas,Final Mile,10,50,1003.09
8/30/2020,Shein,Milwaukee,Middle Mile,9,45,1038.54
8/30/2020,Shein,Dallas,Middle Mile,9,54,1129.81
8/30/2020,Shein,Detroit,Middle Mile,7,35,278.67
8/30/2020,Shein,Nashville,Middle Mile,6,30,650.76
8/30/2020,Shein,Chicago,Middle Mile,7,42,569.26
8/30/2020,Starbucks,Birmingham,Middle Mile,9,45,436.02
8/30/2020,Home Depot,Milwaukee,Final Mile,5,25,901.69
8/30/2020,Home Goods,San Francisco,Middle Mile,9,45,317.59
8/30/2020,Home Depot,Nashville,Final Mile,13,65,1770.48
8/30/2020,Target,San Francisco,Middle Mile,6,18,181.92
8/30/2020,Target,Milwaukee,Middle Mile,11,55,386.42
8/30/2020,Amazon,Sacramento,Final Mile,3,9,203.04
8/30/2020,Amazon,Tampa Bay,Final Mile,10,50,557.51
8/30/2020,Amazon,Dallas,Final Mile,10,50,1128.72
8/30/2020,Amazon,Minneapolis,Final Mile,7,35,720.04
8/30/2020,Target,Tampa Bay,Middle Mile,6,36,147.5
8/30/2020,Amazon,Nashville,Final Mile,4,12,243
8/30/2020,Amazon,New York,Final Mile,4,20,465.05
8/30/2020,Amazon,Houston,Final Mile,5,25,134.74
8/30/2020,Amazon,San Diego,Final Mile,11,55,369.22
8/30/2020,Amazon,San Francisco,Final Mile,7,35,175.4
8/30/2020,Amazon,Atlanta,Final Mile,11,66,1486.13
8/30/2020,Home Depot,San Diego,Final Mile,10,50,685.79
8/30/2020,Amazon,Birmingham,Final Mile,5,25,375.29
8/30/2020,Target,Nashville,Middle Mile,10,50,617.86
8/30/2020,Amazon,Chicago,Final Mile,10,60,658.13
8/30/2020,Target,Chicago,Middle Mile,13,65,781.34
8/30/2020,Target,Sacramento,Middle Mile,10,50,382.56
8/30/2020,Costco,Nashville,First Mile,3,18,563.95
8/30/2020,Costco,Seattle,First Mile,3,12,258.65
8/30/2020,Costco,Detroit,First Mile,2,10,208.84
8/30/2020,Costco,Dallas,First Mile,3,12,258
8/30/2020,Costco,San Diego,First Mile,6,36,798.49
8/30/2020,Home Depot,Tampa Bay,Final Mile,6,30,2188.98
8/30/2020,Costco,Houston,First Mile,2,10,140.87
8/30/2020,Costco,Chicago,First Mile,2,10,379.36
8/30/2020,Costco,Los Angeles,First Mile,4,8,185
8/30/2020,Costco,San Francisco,First Mile,3,15,533.6
8/30/2020,Target,Los Angeles,Middle Mile,5,25,365.85
8/30/2020,Costco,Birmingham,First Mile,1,5,78.08
8/30/2020,Target,Seattle,Middle Mile,7,35,871.18
8/31/2020,Home Depot,Miami,Final Mile,24,120,4988
8/31/2020,Chick-Fil-A,San Francisco,Final Mile,18,90,820.94
8/31/2020,Chick-Fil-A,Los Angeles,Final Mile,26,130,1948.39
8/31/2020,Home Goods,Birmingham,Middle Mile,43,215,1504.67
8/31/2020,Home Goods,Los Angeles,Middle Mile,41,205,2076
8/31/2020,Home Goods,Detroit,Middle Mile,54,324,2097.06
8/31/2020,Home Depot,Seattle,Final Mile,19,95,3290.16
8/31/2020,Home Goods,San Francisco,Middle Mile,45,225,1587.97
8/31/2020,T.J. Maxx,Milwaukee,Middle Mile,62,310,1228.01
8/31/2020,Home Depot,Atlanta,Final Mile,59,295,13502.49
8/31/2020,Starbucks,Los Angeles,Middle Mile,52,260,3991.21
8/31/2020,Home Depot,Chicago,Final Mile,58,290,21165.58
8/31/2020,Chipotle,Dallas,Final Mile,25,125,1699.9
8/31/2020,Home Goods,Miami,Middle Mile,39,195,2318.02
8/31/2020,Chipotle,Chicago,Final Mile,62,248,3458.26
8/31/2020,Shein,New York,Middle Mile,23,138,2735.8
8/31/2020,Chipotle,Milwaukee,Final Mile,29,145,2045.85
8/31/2020,Lowes,Milwaukee,Final Mile,11,55,1651.43
8/31/2020,Lowes,Detroit,Final Mile,17,85,695.67
8/31/2020,Lowes,Sacramento,Final Mile,30,150,6169.48
8/31/2020,Shein,Tampa Bay,Middle Mile,47,235,5399.95
8/31/2020,Shein,Sacramento,Middle Mile,21,105,1049.01
8/31/2020,Shein,Detroit,Middle Mile,36,180,1433.14
8/31/2020,Shein,Dallas,Middle Mile,48,240,5021.39
8/31/2020,Starbucks,Houston,Middle Mile,46,230,2402.18
8/31/2020,Starbucks,San Francisco,Middle Mile,48,240,1707.38
8/31/2020,Starbucks,Seattle,Middle Mile,50,300,4569.39
8/31/2020,Starbucks,Atlanta,Middle Mile,17,85,1268.34
8/31/2020,Starbucks,Minneapolis,Middle Mile,24,120,1802.79
8/31/2020,Home Depot,Dallas,Final Mile,52,260,5216.07
8/31/2020,Chipotle,Miami,Final Mile,16,96,1612.73
8/31/2020,Home Depot,Tampa Bay,Final Mile,31,124,9047.8
8/31/2020,Home Depot,Detroit,Final Mile,55,275,10883.27
8/31/2020,Costco,Detroit,First Mile,10,50,1044.19
8/31/2020,Costco,Seattle,First Mile,18,90,1939.91
8/31/2020,Amazon,Chicago,Final Mile,51,255,2797.07
8/31/2020,Amazon,Atlanta,Final Mile,55,275,6192.19
8/31/2020,Amazon,San Francisco,Final Mile,37,185,927.12
8/31/2020,Amazon,Los Angeles,Final Mile,41,205,3521.78
8/31/2020,Amazon,San Diego,Final Mile,55,275,1846.09
8/31/2020,Amazon,Houston,Final Mile,28,140,754.53
8/31/2020,Amazon,New York,Final Mile,22,88,2046.22
8/31/2020,Amazon,Birmingham,Final Mile,25,125,1876.47
8/31/2020,Amazon,Nashville,Final Mile,20,100,2025.02
8/31/2020,Amazon,Minneapolis,Final Mile,37,185,3805.92
8/31/2020,Amazon,Dallas,Final Mile,54,216,4876.08
8/31/2020,Amazon,Tampa Bay,Final Mile,50,250,2787.57
8/31/2020,Amazon,Sacramento,Final Mile,16,96,2165.78
8/31/2020,Walmart,Milwaukee,Middle Mile,27,135,2101.99
8/31/2020,Costco,Houston,First Mile,14,56,788.85
8/31/2020,Target,Atlanta,Middle Mile,48,192,1625.04
8/31/2020,Walmart,Chicago,Middle Mile,64,320,7539.34
8/31/2020,Costco,Chicago,First Mile,11,55,2086.51
8/31/2020,Costco,New York,First Mile,24,120,1782.67
8/31/2020,Costco,Sacramento,First Mile,14,56,895.65
8/31/2020,Costco,Milwaukee,First Mile,12,60,666.11
8/31/2020,Costco,San Francisco,First Mile,16,96,3415.06
8/31/2020,Costco,Birmingham,First Mile,9,36,562.18
8/31/2020,Target,Dallas,Middle Mile,50,250,1919.4
8/31/2020,Target,Los Angeles,Middle Mile,29,116,1697.56
8/31/2020,Target,Chicago,Middle Mile,66,330,3966.8
8/31/2020,Target,Sacramento,Middle Mile,53,265,2027.57
8/31/2020,Target,Nashville,Middle Mile,54,324,4003.75
8/31/2020,Costco,Atlanta,First Mile,30,180,6391.5
8/31/2020,Target,Milwaukee,Middle Mile,58,232,1630.01
9/1/2020,Chick-Fil-A,Los Angeles,Final Mile,26,130,1948.39
9/1/2020,Chick-Fil-A,Houston,Final Mile,42,168,2359.88
9/1/2020,Home Goods,Detroit,Middle Mile,54,270,1747.55
9/1/2020,Home Goods,Miami,Middle Mile,39,195,2318.02
9/1/2020,Home Depot,Miami,Final Mile,24,120,4988
9/1/2020,Home Depot,Atlanta,Final Mile,59,354,16202.99
9/1/2020,Chick-Fil-A,Detroit,Final Mile,44,220,1668.94
9/1/2020,Home Depot,Sacramento,Final Mile,45,225,10179.6
9/1/2020,Home Depot,Milwaukee,Final Mile,27,135,4869.13
9/1/2020,Home Depot,Tampa Bay,Final Mile,31,155,11309.75
9/1/2020,Home Depot,Birmingham,Final Mile,19,114,8544.68
9/1/2020,T.J. Maxx,Chicago,Middle Mile,44,220,1987.53
9/1/2020,Chipotle,Atlanta,Final Mile,23,115,1965.41
9/1/2020,Lowes,Milwaukee,Final Mile,11,55,1651.43
9/1/2020,Chipotle,New York,Final Mile,48,288,3802.86
9/1/2020,Lowes,Chicago,Final Mile,34,170,8839.56
9/1/2020,Lowes,Sacramento,Final Mile,30,150,6169.48
9/1/2020,Shein,Tampa Bay,Middle Mile,47,235,5399.95
9/1/2020,Costco,Nashville,First Mile,19,114,3571.67
9/1/2020,Starbucks,New York,Middle Mile,38,152,936.89
9/1/2020,Starbucks,Seattle,Middle Mile,50,300,4569.39
9/1/2020,Starbucks,Atlanta,Middle Mile,17,102,1522.01
9/1/2020,Starbucks,Detroit,Middle Mile,17,85,1377.88
9/1/2020,Starbucks,Miami,Middle Mile,48,240,1043.28
9/1/2020,Starbucks,Tampa Bay,Middle Mile,22,110,476.44
9/1/2020,Starbucks,Minneapolis,Middle Mile,24,120,1802.79
9/1/2020,Starbucks,Los Angeles,Middle Mile,52,312,4789.45
9/1/2020,Chipotle,Chicago,Final Mile,62,310,4322.82
9/1/2020,Starbucks,San Francisco,Middle Mile,48,240,1707.38
9/1/2020,T.J. Maxx,Milwaukee,Middle Mile,62,310,1228.01
9/1/2020,Costco,Chicago,First Mile,11,55,2086.51
9/1/2020,Costco,Houston,First Mile,14,56,788.85
9/1/2020,Amazon,Chicago,Final Mile,51,255,2797.07
9/1/2020,Amazon,Atlanta,Final Mile,55,275,6192.19
9/1/2020,Amazon,San Francisco,Final Mile,37,185,927.12
9/1/2020,Amazon,Los Angeles,Final Mile,41,246,4226.13
9/1/2020,Amazon,San Diego,Final Mile,55,275,1846.09
9/1/2020,Amazon,Houston,Final Mile,28,140,754.53
9/1/2020,Amazon,New York,Final Mile,22,110,2557.78
9/1/2020,Amazon,Birmingham,Final Mile,25,125,1876.47
9/1/2020,Amazon,Nashville,Final Mile,20,100,2025.02
9/1/2020,Amazon,Minneapolis,Final Mile,37,185,3805.92
9/1/2020,Amazon,Dallas,Final Mile,54,324,7314.12
9/1/2020,Amazon,Tampa Bay,Final Mile,50,250,2787.57
9/1/2020,Amazon,Sacramento,Final Mile,16,80,1804.82
9/1/2020,Costco,Birmingham,First Mile,9,45,702.73
9/1/2020,Walmart,Milwaukee,Middle Mile,27,135,2101.99
9/1/2020,Walmart,New York,Middle Mile,48,240,1056.8
9/1/2020,Costco,Los Angeles,First Mile,22,110,2543.8
9/1/2020,Costco,Sacramento,First Mile,14,70,1119.57
9/1/2020,Costco,Milwaukee,First Mile,12,72,799.33
9/1/2020,Costco,San Francisco,First Mile,16,80,2845.88
9/1/2020,Costco,Miami,First Mile,27,135,4568.39
9/1/2020,Costco,New York,First Mile,24,120,1782.67
9/1/2020,Target,Seattle,Middle Mile,35,175,4355.9
9/1/2020,Target,Chicago,Middle Mile,66,396,4760.16
9/1/2020,Target,Nashville,Middle Mile,54,270,3336.46
9/1/2020,Target,Atlanta,Middle Mile,48,240,2031.31
9/1/2020,Walmart,Chicago,Middle Mile,64,256,6031.47
9/1/2020,Target,Los Angeles,Middle Mile,29,174,2546.34
9/2/2020,Chipotle,Milwaukee,Final Mile,14,70,987.65
9/2/2020,Chipotle,Miami,Final Mile,8,32,537.58
9/2/2020,Chipotle,Detroit,Final Mile,10,30,131.19
9/2/2020,Chipotle,Seattle,Final Mile,29,145,703.26
9/2/2020,Home Goods,Birmingham,Middle Mile,21,105,734.84
9/2/2020,Home Goods,Detroit,Middle Mile,27,135,873.77
9/2/2020,Home Goods,Tampa Bay,Middle Mile,13,65,544.38
9/2/2020,T.J. Maxx,Chicago,Middle Mile,22,110,993.76
9/2/2020,Home Depot,San Francisco,Final Mile,18,108,7800.37
9/2/2020,Home Depot,Houston,Final Mile,33,165,7610.62
9/2/2020,Chipotle,New York,Final Mile,24,144,1901.43
9/2/2020,Home Depot,Chicago,Final Mile,29,116,8466.23
9/2/2020,Home Depot,Miami,Final Mile,12,60,2494
9/2/2020,Home Goods,Chicago,Middle Mile,12,60,786.41
9/2/2020,Lowes,Detroit,Final Mile,8,40,327.38
9/2/2020,Shein,Milwaukee,Middle Mile,24,96,2215.54
9/2/2020,Shein,New York,Middle Mile,11,55,1090.35
9/2/2020,Shein,Los Angeles,Middle Mile,6,30,195.15
9/2/2020,Shein,Sacramento,Middle Mile,10,60,599.44
9/2/2020,Shein,Chicago,Middle Mile,17,102,1382.48
9/2/2020,Shein,Nashville,Middle Mile,17,85,1843.81
9/2/2020,Starbucks,Chicago,Middle Mile,25,125,2013.06
9/2/2020,Starbucks,Nashville,Middle Mile,24,144,2210.47
9/2/2020,Starbucks,Birmingham,Middle Mile,24,144,1395.26
9/2/2020,Starbucks,Atlanta,Middle Mile,8,32,477.49
9/2/2020,Starbucks,Dallas,Middle Mile,12,60,908.09
9/2/2020,Starbucks,San Diego,Middle Mile,24,120,2104.37
9/2/2020,Starbucks,Milwaukee,Middle Mile,21,105,908.31
9/2/2020,Home Depot,Los Angeles,Final Mile,31,186,12120.73
9/2/2020,Starbucks,Los Angeles,Middle Mile,26,130,1995.6
9/2/2020,Lowes,Sacramento,Final Mile,15,75,3084.74
9/2/2020,Starbucks,Sacramento,Middle Mile,10,30,257.87
9/2/2020,Home Depot,San Diego,Final Mile,27,162,2221.95
9/2/2020,Costco,Nashville,First Mile,9,45,1409.87
9/2/2020,Amazon,Chicago,Final Mile,25,100,1096.89
9/2/2020,Amazon,Atlanta,Final Mile,27,135,3039.8
9/2/2020,Amazon,San Francisco,Final Mile,18,90,451.03
9/2/2020,Amazon,Los Angeles,Final Mile,20,80,1374.35
9/2/2020,Amazon,San Diego,Final Mile,27,135,906.26
9/2/2020,Amazon,New York,Final Mile,11,55,1278.89
9/2/2020,Amazon,Birmingham,Final Mile,12,60,900.7
9/2/2020,Amazon,Nashville,Final Mile,10,40,810.01
9/2/2020,Amazon,Minneapolis,Final Mile,18,126,2592.14
9/2/2020,Amazon,Dallas,Final Mile,27,135,3047.55
9/2/2020,Amazon,Tampa Bay,Final Mile,25,125,1393.79
9/2/2020,Amazon,Sacramento,Final Mile,8,32,721.93
9/2/2020,Walmart,New York,Middle Mile,24,120,528.4
9/2/2020,Walmart,Milwaukee,Middle Mile,13,65,1012.07
9/2/2020,Home Depot,Tampa Bay,Final Mile,15,75,5472.46
9/2/2020,Target,San Francisco,Middle Mile,15,60,606.42
9/2/2020,Costco,Seattle,First Mile,9,45,969.95
9/2/2020,Costco,Minneapolis,First Mile,12,60,2369.6
9/2/2020,Costco,San Diego,First Mile,15,75,1663.51
9/2/2020,Costco,Birmingham,First Mile,4,16,249.86
9/2/2020,Target,Atlanta,Middle Mile,24,96,812.52
9/2/2020,Costco,Los Angeles,First Mile,11,66,1526.28
9/2/2020,Costco,New York,First Mile,12,72,1069.6
9/2/2020,Costco,Atlanta,First Mile,15,75,2663.12
9/2/2020,Target,Dallas,Middle Mile,25,125,959.7
9/2/2020,Target,Los Angeles,Middle Mile,14,84,1229.27
9/2/2020,Target,Chicago,Middle Mile,33,165,1983.4
9/2/2020,Target,Sacramento,Middle Mile,26,156,1193.59
9/2/2020,Target,Nashville,Middle Mile,27,135,1668.23
9/2/2020,Costco,San Francisco,First Mile,8,48,1707.53
9/3/2020,Chipotle,Tampa Bay,Final Mile,14,70,773.45
